IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta,IdLocal
62,2024-05-05,2,4,Refrigerador LG,1,890.0,890.0,4
63,2024-05-06,3,1,Refrigerador LG,1,1550.0,1550.0,4
64,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,4
65,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,4
66,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,4
67,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,4
68,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,4
69,2024-05-05,2,1,Lavadora,1,950.0,950.0,4
70,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,4
71,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,4
72,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,4
73,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,4
74,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,4
75,2024-05-05,1,1,Televisor 40,3,890.0,2670.0,4
76,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,4
77,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,4
78,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
79,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,4
80,2024-05-05,2,1,Lavadora,1,950.0,950.0,4
81,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,4
82,2024-05-06,1,3,Televisor 52,1,890.0,890.0,4
83,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,4
84,2024-05-05,2,1,Lavadora,1,950.0,950.0,4
85,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,4
86,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,4
87,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,4
88,2024-05-05,2,1,Lavadora,1,950.0,950.0,4
89,2024-05-06,1,1,Refrigerador LG,1,2750.0,2750.0,4
90,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,4
91,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,4
92,2024-05-08,1,4,Televisor 52,1,2750.0,2750.0,4
93,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,4
94,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,4
95,2024-05-06,2,2,Lavadora,3,890.0,2670.0,4
96,2024-05-08,3,2,Televisor 52,3,950.0,2850.0,4
97,2024-05-06,1,4,Televisor 52,3,890.0,2670.0,4
98,2024-05-05,1,1,Lavadora,1,890.0,890.0,4
99,2024-05-05,2,1,Lavadora,1,950.0,950.0,4
100,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,4
